constructorId,constructorRef,name,nationality,url,color
143,"del_roy","Del Roy","American","http://en.wikipedia.org/wiki/Del_Roy","#0074D9"
144,"veritas","Veritas","German","http://en.wikipedia.org/wiki/Veritas_(constructor)","#0074D9"
145,"bmw","BMW","German","http://en.wikipedia.org/wiki/BMW","#0074D9"
146,"emw","EMW","East German","http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk","#0074D9"
147,"afm","AFM","German","http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau","#0074D9"
148,"frazer_nash","Frazer Nash","British","http://en.wikipedia.org/wiki/Frazer_Nash","#0074D9"
149,"sherman","Sherman","American","http://en.wikipedia.org/wiki/Sherman_(constructor)","#0074D9"
150,"deidt","Deidt","American","http://en.wikipedia.org/wiki/Deidt","#0074D9"
151,"era","ERA","British","http://en.wikipedia.org/wiki/English_Racing_Automobiles","#0074D9"
152,"butterworth","Aston Butterworth","British","http://en.wikipedia.org/wiki/Aston_Butterworth","#0074D9"
153,"cisitalia","Cisitalia","Italian","http://en.wikipedia.org/wiki/Cisitalia","#0074D9"
154,"lago","Talbot-Lago","French","http://en.wikipedia.org/wiki/Talbot-Lago","#0074D9"
155,"hall","Hall","American","http://en.wikipedia.org/wiki/Hall_(constructor)","#0074D9"
156,"marchese","Marchese","American","http://en.wikipedia.org/wiki/Marchese_(constructor)","#0074D9"
157,"langley","Langley","American","http://en.wikipedia.org/wiki/Langley_(constructor)","#0074D9"
158,"rae","Rae","American","http://en.wikipedia.org/wiki/Rae_(motorsport)","#0074D9"
159,"olson","Olson","American","http://en.wikipedia.org/wiki/Olson_(constructor)","#0074D9"
160,"wetteroth","Wetteroth","American","http://en.wikipedia.org/wiki/Wetteroth","#0074D9"
161,"adams","Adams","American","http://en.wikipedia.org/wiki/Adams_(constructor)","#0074D9"
162,"snowberger","Snowberger","American","http://en.wikipedia.org/wiki/Snowberger","#0074D9"
163,"milano","Milano","Italian","http://en.wikipedia.org/wiki/Scuderia_Milano","#0074D9"
164,"hrt","HRT","Spanish","http://en.wikipedia.org/wiki/Hispania_Racing","#0074D9"
167,"cooper-maserati","Cooper-Maserati","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
166,"virgin","Virgin","British","http://en.wikipedia.org/wiki/Virgin_Racing","#0074D9"
168,"cooper-osca","Cooper-OSCA","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
169,"cooper-borgward","Cooper-Borgward","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
170,"cooper-climax","Cooper-Climax","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#75BD69"
171,"cooper-castellotti","Cooper-Castellotti","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
172,"lotus-climax","Lotus-Climax","British","http://en.wikipedia.org/wiki/Team_Lotus","#308344"
173,"lotus-maserati","Lotus-Maserati","British","http://en.wikipedia.org/wiki/Team_Lotus","#0074D9"
174,"de_tomaso-osca","De Tomaso-Osca","Italian","http://en.wikipedia.org/wiki/De_Tomaso","#0074D9"
175,"de_tomaso-alfa_romeo","De Tomaso-Alfa Romeo","Italian","http://en.wikipedia.org/wiki/De_Tomaso","#0074D9"
176,"lotus-brm","Lotus-BRM","British","http://en.wikipedia.org/wiki/Team_Lotus","#0074D9"
177,"lotus-borgward","Lotus-Borgward","British","http://en.wikipedia.org/wiki/Team_Lotus","#0074D9"
178,"cooper-alfa_romeo","Cooper-Alfa Romeo","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
179,"de_tomaso-ferrari","De Tomaso-Ferrari","Italian","http://en.wikipedia.org/wiki/De_Tomaso","#0074D9"
180,"lotus-ford","Lotus-Ford","British","http://en.wikipedia.org/wiki/Team_Lotus","#0074D9"
181,"brabham-brm","Brabham-BRM","British","http://en.wikipedia.org/wiki/Brabham","#0074D9"
182,"brabham-ford","Brabham-Ford","British","http://en.wikipedia.org/wiki/Brabham","#0074D9"
183,"brabham-climax","Brabham-Climax","British","http://en.wikipedia.org/wiki/Brabham","#0074D9"
184,"lds-climax","LDS-Climax","South African","http://en.wikipedia.org/wiki/LDS_(automobile)","#0074D9"
185,"lds-alfa_romeo","LDS-Alfa Romeo","South African","http://en.wikipedia.org/wiki/LDS_(automobile)","#0074D9"
186,"cooper-ford","Cooper-Ford","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
187,"mclaren-ford","McLaren-Ford","British","http://en.wikipedia.org/wiki/Team_McLaren","#FF7B09"
188,"mclaren-seren","McLaren-Serenissima","British","http://en.wikipedia.org/wiki/Team_McLaren","#0074D9"
